时间, CPU使用率, 内存使用率
2026-02-27 13:37:04, 0.00%, 93.92%
2026-02-27 13:37:05, 7.07%, 93.67%
2026-02-27 13:37:06, 12.21%, 93.68%
2026-02-27 13:37:07, 2.54%, 93.68%
2026-02-27 13:37:08, 3.02%, 93.68%
2026-02-27 13:37:09, 2.51%, 93.68%
2026-02-27 13:37:10, 2.77%, 93.62%
2026-02-27 13:37:11, 12.37%, 93.63%
2026-02-27 13:37:12, 7.05%, 93.60%
2026-02-27 13:37:13, 2.53%, 93.60%
2026-02-27 13:37:14, 3.01%, 93.60%
2026-02-27 13:37:15, 2.51%, 93.60%
2026-02-27 13:37:16, 2.02%, 93.60%
2026-02-27 13:37:17, 2.76%, 93.60%
2026-02-27 13:37:18, 5.79%, 93.56%
2026-02-27 13:37:19, 16.62%, 93.48%
2026-02-27 13:37:20, 3.03%, 93.48%
2026-02-27 13:37:21, 3.79%, 93.49%
2026-02-27 13:37:22, 2.27%, 93.49%
2026-02-27 13:37:23, 2.52%, 93.49%
2026-02-27 13:37:24, 3.27%, 93.49%
2026-02-27 13:37:25, 2.26%, 93.49%
2026-02-27 13:37:26, 2.77%, 93.49%
2026-02-27 13:37:27, 3.31%, 93.49%
2026-02-27 13:37:28, 3.27%, 93.49%
2026-02-27 13:37:29, 2.53%, 93.49%
2026-02-27 13:37:30, 2.53%, 93.49%
2026-02-27 13:37:31, 2.79%, 93.49%
2026-02-27 13:37:32, 3.52%, 93.54%
2026-02-27 13:37:33, 3.27%, 93.54%
2026-02-27 13:37:34, 2.27%, 93.54%
2026-02-27 13:37:35, 4.02%, 93.54%
2026-02-27 13:37:36, 3.53%, 93.54%
2026-02-27 13:37:37, 2.27%, 93.54%
2026-02-27 13:37:38, 2.52%, 93.54%
2026-02-27 13:37:39, 2.78%, 93.55%
2026-02-27 13:37:40, 2.27%, 93.55%
2026-02-27 13:37:41, 3.03%, 93.55%
2026-02-27 13:37:42, 3.05%, 93.55%
2026-02-27 13:37:43, 2.77%, 93.56%
2026-02-27 13:37:44, 3.27%, 93.56%
2026-02-27 13:37:45, 2.77%, 93.56%
2026-02-27 13:37:46, 2.02%, 93.56%
2026-02-27 13:37:47, 2.51%, 93.56%
2026-02-27 13:37:48, 3.03%, 93.56%
2026-02-27 13:37:49, 3.01%, 93.56%
2026-02-27 13:37:50, 2.77%, 93.56%
2026-02-27 13:37:51, 2.53%, 93.56%
2026-02-27 13:37:52, 2.27%, 93.56%
2026-02-27 13:37:53, 3.28%, 93.56%
2026-02-27 13:37:54, 2.03%, 93.56%
2026-02-27 13:37:55, 2.26%, 93.56%
2026-02-27 13:37:56, 2.53%, 93.56%
2026-02-27 13:37:57, 3.05%, 93.56%
2026-02-27 13:37:58, 17.17%, 93.56%
2026-02-27 13:37:59, 17.09%, 93.26%
2026-02-27 13:38:00, 3.28%, 93.26%
2026-02-27 13:38:01, 2.53%, 93.26%
2026-02-27 13:38:02, 2.27%, 93.26%
2026-02-27 13:38:03, 3.02%, 93.26%
2026-02-27 13:38:04, 2.27%, 93.26%
2026-02-27 13:38:05, 2.53%, 93.24%
2026-02-27 13:38:06, 3.02%, 93.25%
2026-02-27 13:38:07, 2.77%, 93.25%
2026-02-27 13:38:08, 2.78%, 93.25%
2026-02-27 13:38:09, 3.02%, 93.25%
2026-02-27 13:38:10, 3.27%, 93.25%
